t,lx,ly,rx,ry,px,py,pz,qx,qy,qz,qw
0.392000,-0.023694,0.020589,-0.029806,0.033640,-0.006831,-0.006193,0.007173,-0.024725,0.013857,-0.011582,-0.999531
0.400000,-0.023630,0.020638,-0.029794,0.033767,-0.006838,-0.006202,0.007182,-0.024758,0.013872,-0.011592,-0.999530
0.409000,-0.023368,0.019970,-0.029800,0.033716,-0.006851,-0.006206,0.007186,-0.024772,0.013883,-0.011627,-0.999529
0.417000,-0.023006,0.019332,-0.029805,0.033708,-0.006863,-0.006209,0.007189,-0.024781,0.013876,-0.011674,-0.999528
0.426000,-0.022704,0.018753,-0.029846,0.033701,-0.006893,-0.006208,0.007187,-0.024776,0.013857,-0.011792,-0.999527
0.434000,-0.022496,0.018330,-0.029891,0.033625,-0.006909,-0.006202,0.007179,-0.024748,0.013827,-0.011871,-0.999528
0.442000,-0.022409,0.017923,-0.030090,0.033155,-0.006908,-0.006182,0.007156,-0.024667,0.013788,-0.011902,-0.999530
0.451000,-0.022283,0.017437,-0.030255,0.032701,-0.006895,-0.006172,0.007146,-0.024631,0.013744,-0.011895,-0.999531
0.459000,-0.022215,0.016585,-0.030522,0.031682,-0.006887,-0.006159,0.007131,-0.024577,0.013702,-0.011902,-0.999533
0.467000,-0.022215,0.016585,-0.030522,0.031682,-0.006898,-0.006149,0.007119,-0.024535,0.013654,-0.011979,-0.999534
0.476000,-0.022216,0.015898,-0.030746,0.031361,-0.006889,-0.006148,0.007118,-0.024532,0.013603,-0.011993,-0.999535
0.484000,-0.022216,0.015898,-0.030746,0.031361,-0.006871,-0.006143,0.007114,-0.024514,0.013573,-0.011959,-0.999536
0.492000,-0.022251,0.015423,-0.030923,0.031048,-0.006867,-0.006136,0.007107,-0.024488,0.013533,-0.011977,-0.999537
0.501000,-0.022251,0.015423,-0.030923,0.031048,-0.006849,-0.006129,0.007100,-0.024463,0.013497,-0.011946,-0.999538
0.509000,-0.022377,0.015121,-0.031160,0.030600,-0.006833,-0.006110,0.007079,-0.024388,0.013463,-0.011922,-0.999541
0.517000,-0.022376,0.014679,-0.031151,0.029997,-0.006817,-0.006089,0.007055,-0.024306,0.013440,-0.011887,-0.999544
0.526000,-0.022404,0.014576,-0.031208,0.029761,-0.006815,-0.006076,0.007041,-0.024254,0.013418,-0.011898,-0.999545
0.534000,-0.022464,0.014344,-0.031288,0.029430,-0.006812,-0.006053,0.007015,-0.024163,0.013398,-0.011906,-0.999547
0.542000,-0.022493,0.014299,-0.031241,0.029136,-0.006806,-0.006034,0.006994,-0.024092,0.013383,-0.011898,-0.999549
0.550000,-0.022674,0.013857,-0.031214,0.028333,-0.006786,-0.006011,0.006970,-0.024005,0.013374,-0.011837,-0.999552
0.560000,-0.022898,0.013432,-0.031238,0.028133,-0.006788,-0.005993,0.006948,-0.023930,0.013363,-0.011851,-0.999554
0.568000,-0.023210,0.012906,-0.031230,0.027603,-0.006796,-0.005981,0.006935,-0.023885,0.013348,-0.011893,-0.999555
0.575000,-0.023465,0.012538,-0.031262,0.027491,-0.006796,-0.005971,0.006923,-0.023844,0.013329,-0.011910,-0.999556
0.584000,-0.023722,0.012323,-0.031328,0.027439,-0.006799,-0.005966,0.006918,-0.023823,0.013303,-0.011940,-0.999556
0.592000,-0.023766,0.012253,-0.031356,0.027109,-0.006809,-0.005957,0.006907,-0.023786,0.013279,-0.011995,-0.999557
